Column1,Name_Food,Type_Food,Method1,Method2,Method3,Method4,Method5,Method6,Method7,Method8,Method9,Method10,Method11,Method12,Method13,Method14,Method15,Method16,Method17,Method18
8,หมูทอด,ทอด,ทำ การหมักหมูสามชั้น ด้วย น้ำปลา กระเทียม ขิง เกลือ พริกไทย ไข่ไก่ น้ำส้มสายชู และ แป้งทอดกรอบ หมักไว้ประมาณ 1 – 2 ชั่วโมง,เตรียมกระทะน้ำมัน สำหรับทอด ตั้งกระทะให้น้ำมันร้อน จากนั้นหลีไฟให้อ่อนลง,นำ หมูหมัก ลงไปทอดให้ท่วมน้ำมัน สังเกตุให้หมูเหลืองสุข ก็นำออกมาพักให้สะเด็ดน้ำมันและหั่นเป็นชิ้นให้พอคำ,เนื้อหมู สำหรับนำมาทำ หมูทอด จะเป็น เนื้อหมูสามชั้น ต้องเลือก หมูที่มี เนื้อหมู 8 ส่วน มันหมู 2 ส่วน,การหมักหมู เป็น เคล็ดลับความอร่อย ของเมนูนี้ ส่วนผสมทุกอย่าง ต้องได้รสชาติที่เข้มค้น เวลากินกับข้าวสวย หรือ ข้าวเหนียว จะทำให้ได้รสชาติที่อร่อย,น้ำมันสำหรับทอด ให้ใช้น้ำมันใหม่ ปริมาณน้ำมัน ท่วมเนื้อหมูหมัก ความร้อนของไฟปานกลาง แต่น้ำมันเดือด,,,,,,,,,,,,
9,น้ำพริกหมูกรอบ,ทอด,โขรกพริกแห้ง หอมแดง กระเทียม และ กุ้งแห้ง ให้ละเอียดเข้ากัน,ตั้งกระทะให้ร้อนนำเครื่องแกงที่โขรกมาผัดพร้อม พริกแกงเผ็ด ให้สุก ปรุงรสด้วย น้ำตาล น้ำปลา น้ำมะขามเปียก,ใส่ หมูกรอบ และ ใบมะกรูด ซอยลงไปผัดให้เข้ากัน,เสริฟ น้ำพริกหมูกรอบ ทานกับข้าวสวยร้อนๆ,การทำหมูกรอบ ต้องผ่านการนึ่ง การหมัก การย่าง และ การทอด หมูที่เหมาะสำหรับนำมาทหมูกรอบ เป็น หมูสามชั้น ที่มี อัตราส่วนของ เนื้อหมู 8 ส่วน และ มันหมู 2 ส่วน นำมีดโกนมาขูดหนังหมูออกให้ไม่มีขน หมักหมูด้วย รากผักชี กระเทียม พริกไทย ผงพะโล้ ซอสปรุงรส นำไปนุ่งให้สุก และ พักให้หนังแห้ง จากนั้นนำไปย่างให้สุก และ หนังกรอบ และ สุดท้ายหากหนังไม่กรอบก็นำหนังลงไปทอดซ้ำ,กระเทียม สำหรับ ทำน้ำพริก เลือกใช้กระเทียมไทย ซึ่งกระเทียมไทย มีความหอม หวาน เหมาะสำหรับนำมาทำน้ำพริก,น้ำตาล ใช้ น้ำตาลปี๊บ ความหวานของน้ำตาลปี๊บ เหมาะสำหรับนำมาทำน้ำพริก,การผัดพริกแกงเผ็ด ต้องผัดให้สุก แต่ระวังพริกแกงไหม้ การสังเกตุว่าพริกแกงสุกหรือไม่ ดูจากกลิ่นที่หอมแสดงว่าใช่งานได้,แกนกลางใบมะกรุด เป็นส่วนที่ขม การนำใบมะกรูดมาทำอาหาร ให้เอาแกนใบออก และ ซอยละเอียดๆ,กุ้งแห้ง สหรับนำมาทำน้ำพริก ให้ใช้กุ้งแห้งอย่างดี ให้นำไปล้างน้ำให้สะอาด และ นำไปอบให้แห้ง จะได้กุ้งแห้งสีจางหน่อย แต่สะอาด ไม่มีสิ่งเจือปน,,,,,,,,
10,จ๋ายอ,ทอด,นำ หมูยอดิบ มาปรุงรสด้วย รากผักชี กระเทียม และ พริกไทยบด พร้อมด้วย หอมแดง บด นวดให้ส่่วนผสมเข้ากัน จากนั้นนำไปแช่เย็นให้ เนื้อหมูยอจับตัว,ตั้งกระทะน้ำมันให้ร้อนปานกลาง นำตะหลิวจากนั้นนำ หมูยอ มาทำเป็นแผ่น จากนั้นนำลงไปทอด ทอดสักพัก  หมูยอ จะเป็นแผ่น หลุดออกจากตะหลิว จากนั้นทอดต่อให้ผิวนอกเหลือง ก็สามารถนำขึ้นรับประทานได้โดย,หั่น จ๋ายอ เป็นชิ้นพอคำ ทานคู่กับ น้ำจิ้มปอเปี๊ยะ และผักสด เช่น ผักกาดหอม ผักชีฝรั่ง ผักแพรว เป็นต้น,หมูยอดิบ ต้องเป็น หมูยอ ที่ทำจากเนื้อหมูที่มีความสด ใหม่ เนื่องจากเนื้อหมูที่ไม่สด นำมาทำอะไรก็ไม่อร่อย,รากผักชี กระเทียม พริกไทย นำมาโขรกให้ละเอียด แนะนำว่าให้โขรก เนื่องการหากนำไปปั่น นั้นรสชาติและความหอม น้อยก่วาการโขรก,น้ำมันที่ใช้ในการทำให้ใช้น้ำมันใหม่ อย่าใช้น้ำมันเก่า ค้างคืน เนื่องจากไม่ดีต่อสุขภาพ และ ทำให้อาหารมีกลิ่น,,,,,,,,,,,,
11,พริกหยวกทรงเครื่องชุบแป้งทอด,ทอด,ผสมแป้งสาลีกับไข่ไก่,หมักเนื้อหมูบด ด้วย ใส่ซีอิ๊วเกาหลี กระเทียมบด ต้นหอม งาเกลือ พริกไทยดำ และ น้ำมันงา คลุกเคล้าให้เข้ากันทั่ว,นำ เนื้อหมูหมัก ยัดใส้ ใน พริกหยวกที่ผ่าคครี่ง และ นำไปชุบแป้ง,ตั้งกระทะน้ำมันให้ร้อนปานกลาง ใส่ พริกที่ยัดไส้ ชุบแป้งทอด ลงไปทอดให้เหลือง,เสริฟใส่จานพริกหยวกชุบแป้งทอด ,,,,,,,,,,,,,
12,ขนมปังหน้าหมู,ทอด,นำหมูสับหมักกับ ไข่ไก่ น้ำปลา ซอสถั่วเหลือง รากผักชี และ พริกไทย ผสมให้เข้ากันพักไว้สักครู่,หั่น ขนมปัง เป้นสี่เหลี่ยมพอคำ วาง หมูหมัก บนขนมปัง ทำแบบนี้จนให้หมด หมูหมัก ในชาม,ตั้งกระทะน้ำมัน เอา ขนมปังหน้าหมู ลงไปทอด จน ขนมปังเหลือง เอามาพักให้สะเด็ดน้ำมัน,โรยหน้าด้วย ผักชี เสริฟใส่จาน,วัตถุดิบ หลักอย่างเนื้อหมูต้องเป็นเนื้อหมูสด ใหม่ เป็น เนื้อหมู ส่วน สันใน เนื่องจากเนื้อสันในมีความนุ่ม เหมาะกับการนำมาทำ ขนมปังหน้าหมู,นำเนื้อหมูไปบด ให้เป็นหมูบด ให้ใส่มันหมูไปบดด้วย 10% ของเนื้อหมูที่บด การที่มีมันหมูปน ช่วยให้เนื้อหมูบด นุ่ม และไม่แข็งกระด้าง,สำหรับคนที่ไม่ถนัด การทอด ให้ใช้การอบ แทน ดดย สูตรอาหารอบ ให้ใช้ไฟ 160 องศาเซลเซียส เวลาประมาณ 15 นาที ขนมปังหน้าหมูที่กรอบและไม่อมน้ำมัน,การทอดขนมปังหน้าหมู นั้น ก่อนทอด ให้ทิ้งให้ขนมปังหน้าหมูที่รอทอด พักไว้ก่อน จะทำให้ ขนมปังหน้าหมูไม่อมน้ำมัน,ไฟที่ใช้ในการทอดให้ใช้ ไฟปานกลาง การใช้ไฟแรงจะทำให้ขนมปังไหม้ และไฟที่อ่อนจะทำให้อมน้ำมัน,การทอด นั้น แนะนำให้ทอด 2 ครั้ง ทอดครั้งแรกให้สะดุ้งหมู ให้สุก จากนั้นพักให้สะเด้ดน้ำมัน และนำลงไปทอดอีกครั้ง จะได้ขนมปังหน้าหมูที่กรอบนอก นุ่มใน,น้ำมัน ที่ใช้ใน การทอด ให้ใช้น้ำมันใหม่ ถ้าใช้น้ำมันเก่า กลิ่นอาหารอื่นจะทำให้ ขนมปังหน้าหมู เสียความอร่อย,ปริมาณน้ำมันที่ใช้ทอด ให้ท่วมตัว ขนมปังหน้าหมู,สำหรับคนที่ไม่ชอบกินหมู ไม่สามารถกินเนื้อหมู สามารถนำเนื้อกุ้งมาประยุกต์แทนได้ แต่เนื้อไก่จะไม่เหมาะกับ ขนมปังหน้าหมูนัก,,,,,
13,ล่าเตียง,ทอด,เริ่มจากเตรียมเครื่องหมักก่อน โดยโขลก รากผักชี กระเทียม และ พริกไทย ให้ละเอียด,จากนั้นตั้งกระทะใส่น้ำมันให้ร้อน นำรากผักชีกระเทียมและพริกไทยลงไปผัดให้หอม,ใส่เครื่องปรุง ประกอบด้วย น้ำตาลปี๊บ น้ำปลา และ ถั่วลิสงคั่วโขรก,จากนั้นนำเนื้อกุ้งลงไปผัดให้พอสุก ให้ปิดไฟ และ พักไส้กุ้งให้เย็นก่อน,ตอกไข่ไส่ชามและตีให้ไข่ขาวและไข่แดงเข้ากัน,ตั้งกระทะให้ร้อน ใส่น้ำมันเล็กน้อยและวนกระทะให้น้ำมันเคลือบทั่วกระทะ,เตรียมกรวยรูเล็กๆให้ไข่หยดเป็นเส้นๆ และ นำไปโรยบนกระทะให้เป็น เส้นแบบเป็นแผ่น,ลอกไข่แผ่นนำมาวางบนจาน,นำไส้กุ้งวางลงกลางแผ่นไข่และห่อเป็นสี่เหลี่ยม จัดใส่จานเสิร์ฟ ตกแต่งด้วย ผักชี และ พริกชี้ฟ้า,,,,,,,,,
14,ไส้อ่อนผัดพริกเกลือ,ทอด,"
","เริ่มจากการล้างไส้อ่อนให้สะอาดก่อน ล้างจนหมดเมือกมันๆ จากนั้น ตั้งหม้อต้มน้ำ ใส่ซอสปรุงรส พริกไทย และ เกลือ ต้มใส้อ่อนในน้ำเดือดๆ ประมาณ 3 ชั่วโมง ต้มให้ไส้อ่อนนุ่มหอมมีรสชาติ
","จากนั้นนำไส้อ่อนมาหั่นเป็นชิ้นขนาดพอดีคำ นำมาพักให้ไส้อ่อนเย็นและสะเด็ดน้ำก่อน
","นำแป้งข้าวโพดมาคลุกไส้อ่อนให้ทั่ว จากนั้น ตั้งกระทะน้ำมันให้ร้อน นำไส้อ่อนลงไปทอดให้เหลืองกรอบ และ พักเอาไว้ก่อน
","ตั้งกระทะให้ร้อน ใส่น้ำมันพอประมาณ ใส่ รากผักชี กระเทียม พริกไทย พริกขี้หนูสวน และ พริกชี้ฟ้า ผัดให้หอม
","ใส่ไส้อ่อน และ ต้นหอมซอย ลงไปผัด ปรุงรสด้วย น้ำตาล ผงปรุงรส และ เกลือ ลงไปผัด
","ผัดให้แห้ง ปิดไฟ เสริฟใส่จาน พร้อมรับประทานได้
",,,,,,,,,,,
15,ไส้อ่อนทอดกระเทียมพริกไทย,ทอด,เริ่มต้นจากล้างไส้อ่อนให้สะอาด เทคนิคการล้างไส้อ่อน ใช้แป้งมันช่วยขัดไส้อ่อน ให้เมือกที่เกาะในไส้อ่อนออกให้หมด ล้างจนน้ำที่ล้างไส้อ่อนใส,จากนั้นนำไส้อ่อนไปต้มในน้ำ ใส่เครื่องปรุง ซอสปรุงรส และ พริกไทยป่น เพื่อให้ไส้อ่อนมีรสชาติ ต้มทิ้งไว้ประมาณ 3 ชั่วโมง ให้ใส้อ่อนนุ่ม จากนั้นนำไส้อ่อนออกมาพักให้เย็น,หั่นไส้อ่อนเป็นชื้นขนาดพอดีคำ นำมาหมักด้วย รากผักชี กระเทียม พริกไทย น้ำตาลทราย ซอยหอยนางรม ซอสถั่วเหลือง พักไว้สัก 15 นาที,แป้งข้าวโพดลงไปผสมในไส้อ่อน,เริ่มทอดไส้อ่อน โดยตั้งกระทะน้ำมันให้ร้อน ใช้ไฟปานกลาง ใส่ไส้อ่อนลงไปทอด ทอดให้เหลืองกรอบ และนำมาพักให้สะเด็ดน้ำมัน เสริฟใส่จาน จัดจานให้สวยงามด้วยแตงกวา และ ผักชี ทานกับซอสพริก,,,,,,,,,,,,,
16,หมูสามชั้นทอดพริกแกง,ทอด,เริ่มจากการปรุงน้ำหมัก โดยใส่ พริกแกงเผ็ด น้ำเปล่า น้ำตาล น้ำปลา และ แป้งอเนกประสงค์ นำส่วนผสมทั้งหมดมาผสมให้ละลายเป็นเนื้อเดียวกัน,จากนั้นนำหมูสามชั้นนำมาคลุกกับซอสพริกแกงเผ็ด หมักทิ้งไว้ 30 นาที,ตั้งกระทะ ใสน้ำมันให้ปริมาณที่ท่วมเนื้อหมูสามชั้น รอให้น้ำมันร้อน โดยใช้ไปปานกลาง,ใส่หมูสามชั้นลงไปทอด โดยทอดให้เหลืองสุก สังเกตุจากสีของหมูสามชั้น อย่าทอดให้แข็งหรืออ่อนเกินไป ทอดให้ผิวของหมูสามชั้นกรอบพอ,เมื่อหมูสามชั้นสุกได้ที่ ให้นำมาพักให้หมูสะเด็ดน้ำมัน และ หั่นเป็นชื้นขนาดพอดีคำ เสริฟรับประทานได้,หมูสามชั้นให้เลือกหมูสามชั้นส่วนสันคอหมู จะเป็นส่วนที่หนังบาง ชั้นไขมันไม่มาก เลือกซื้อหมูสามชั้นที่สดๆ อัตราส่วนของขั้นไขมันกับเนื้อ คือ ไขมัน 2 ส่วน เนื้อ 8 ส่วน,ให้นำส้อมหรือ ไม้จิ้มฟัน มาจิ้มที่เนื้อหมูสามชั้นก่อน นำมาหมัก เพื่อให้ซอสหมักเข้าเนื้อ และ หมักทิ้งไว้ประมาณ 30 นาที หรือ นานกว่านั้น เพื่อให้รสชาติเข้าเนื้อ,การปรุงน้ำหมักซอสพริกแกงเผ็ด ให้ชิมรสชาติของพริกแกงเผ็ด ด้วย เนื่องจากรสชาติของพริกแกงเผ็ดแต่ละที่ไม่เหมือนกัน หาก พริกแกงเค็ม ก็ให้เพิ่มน้ำตาล หรือ ลดน้ำปลาลงในสูตรซอสหมัก,น้ำมันสำหรับทอด ให้เลือกใช้น้ำมันใหม่ ที่ไม่ผ่านการทอดมาก่อน เนื่องจากน้ำมันเก่าไม่ดีต่อสุขภาพ และ น้ำมันเก่าจะมีกลิ่นของอาหารเก่า ทำให้ อาหารเสียรสชาติ,การใช้ไฟ ให้ใช้น้ำมันร้อน แต่ไฟปานกลาง จะได้หมูที่ไม่อมน้ำมัน และ สุกผิวกรอบแบบพอดีรับประทาน,สำหรับคนที่ไม่ชอบ หมูสามชั้น สามารถใช้วัตถุดิบอื่นๆได้ เช่น ไก่ ปีกไก่ ปลาหมึก กุ้ง หรือ เนื้อหมูส่วนอื่นๆ,การปรุงรสพริกแกงเผ็ด ไม่ควรใส่พริกแกงเผ็ดมากเกินไป เนื่องจากจะทำให้กลิ่นของพริกแกงเผ็ดมากเกินไป,,,,,,
17,ทอดมันปลากรายข้าวเหนียว,ทอด,เริ่มจากการหมักเนื้อปลาก่อน ปรุงรสด้วย น้ำปลา และ เกลือป่น จากนั้น ใส่แป้งมันผสมน้ำลงไป นวดให้ส่วนผสมเข้ากับเนื้อปลา ใส่ผักลงไป ประกอบด้วย ผักชีลาว ใบมะกรูด พริกชี้ฟ้า ผสมให้ส่วนผสมเข้ากับเนื้อปลา จากนั้นนำไปหมักในตู้เย็น 45 นาที,เริ่มเตรียมทอดมัน โดย ปั้นข้าวเหนียวให้เป็น ก้อน กลมแบน ให้ขนาดพอดีคำ จากนั้นนำเนื้อปลากรายที่หมัก มาห่อข้าวเหนียว ทำให้หมดที่เตรียมไว้ จะได้ปลากรายก้อนกลมๆแบนๆ ห่อหุ้มข้าวเหนียวเอาไว้,ตั้งกระทะน้ำมันให้ร้อน ไฟปานกลาง นำทอดมันลงไป ทอดให้เหลืองสุก,นำทอดมันมาจัดใส่จานให้สวยงาม จัดจานด้วยผักต่างๆ เช่น ผักกาดหอม และ ทานคู่กับซอสพริก,ปลากรายต้องเลือกใช้เนื้อปลาที่สดๆ ปรุงรสชาติไม่จัดจ้าน หอมสมุนไพร และ มีรสเค้มนิดหน่อย เมื่อทานกับข้าวเหนียว ความหวานของข้าวก็จะกลมกล่อมพอดี,น้ำมันที่ใช้ในการทอด ให้เลือกใช้น้ำมันใหม่ จะทำให้อาหารไม่มีกลิ่น,การทอดให้อาหารไม่อมน้ำมัน ต้องให้น้ำมันร้อน และทอดจนอาหารไม่มีฟองออกมา แสดงว่าสุก,สำหรับใบตะไคร้ หากมีกลิ่นแรงเกินไป ก็สามารถเอาออกได้ เนืองจากบางครั้งกลิ่นแรงเกินไป โดยเมนูนี้ มีส่วนผสมของผักชีลาวอยู่แล้ว กลิ่นฉุ่นอยู่แล้ว สามารถดับความกลิ่นปลาได้,,,,,,,,,,
18,ยำปลาดุกฟู,ทอด,เตรียมปลาดุก ด้วยการล้างปลาดุกให้สะอาด ผ่าเครื่องในออก ล้างให้หมดเมือกปลา จากนั้นนำเนื้อปลาดุกไปย่างให้สุก หรือ นำไปอบ ด้วยเตาอบก็ได้ เม่ื่อได้ปลาดุกสุกแล้ว ให้แกะเอาเนื้อปลาดุกออกมา เอาส่วนก้างออกให้หมด,จากนั้นนำเนื้อปลาดุกย่างไปโขรกให้ละเอียด,ตั้งกระทะน้ำมันให้ร้อน ไฟปานกลาง เอาน้ำมันร้อนๆ เทใส่ชามเนื้อปลาดุก ให้เนื้อปลาดุกสะดุ้งน้ำมัน จากนั้นรินน้ำมันออกก่อน,จากนั้นนำเนื้อปลาดุก ไปทอดซ้ำ ในกระทะน้ำมัน ปลาดุกจะฟูสวยงามน่ารับประทาน ทอดให้เหลืองกรอบ จากนั้นนำมาพักให้สะเด็ดน้ำมัน อย่าให้ชุ่มน้ำมัน เพราะปลาดุกทอดจะไม่กรอบ,เมื่อได้ปลาดุกฟู ขั้นต่อไป ก็ทำน้ำยำ โดยผสม น้ำปลา น้ำมะนาว น้ำตาลปี๊บ พริกขี้หนูสวน หอมแดงซอย และมะม่วงดิบซอย,เสริฟปลาดุกฟู พร้อมด้วยน้ำยำ โรยหน้าด้วย ถั่วลิสงคั่ว และ ผักชี,,,,,,,,,,,,
19,ปลาช่อนลุยสวน,ทอด,เริ่มจากล้างปลาให้สะอาด ขอดเกร็ด จากนั้นแล่เนื้อปลาออกจากตัวปลา ให้เหลือ โครงปลา หัวปลา และ หางปลา จากนั้นหั่นเนื้อปลาเป็นท่อนเต๋า จากนั้นน้ำปลาทั้งส่วนเนื้อ และโครงปลาคลุกด้วยแป้งข้าโพด,ตั้งกระทะน้ำมันให้ร้อน ใช้ไฟปานกลาง นำเนื้อปลาลงไปทอดก่อน เมื่อปลาเหลืองกรอบ ให้นำมาพักให้สะเด็ดน้ำมัน,จากนั้นนำส่วน โครงปลาลงไปทอด ให้เหลืองกรอบ จากนั้นนำมาพักให้สะเด็นน้ำมัน,จัดปลาโครงปลาทอดใส่จาน พร้อมด้วยเนื้อปลาทอด จัดวางผักต่างๆให้สวยงาม,เริ่มทำน้ำยำ โดย ผสม พริกขี้หนูสวน น้ำมะนาว น้ำพริกเผา น้ำตาลปี๊บ น้ำปลา ผสมให้ส่วนผสมละลายเข้ากัน,จากนั้น ผสม ตะไค้ร เนื้อมะนาวหั่น พริกแห้งทอด ขิงอ่อน ใบสะระแหน่ ผักชีฝรั่ง ให้เข้ากับน้ำยำ,ราดส่วนผสมทั้งหมดลงบนปลาทอดที่เตรียมไว้แล้วก่อนหน้านี้ เท่านี้ก็พร้อมสำหรับรับประทานแล้ว,การเลือกปลาช่อน ให้เลือกปลาช่อนขนาด 7 ขีด จะเป็นปลาช่อนในขนาดที่พอเหมาะสำหรับทำเมนูปลาช่อนลุยสวน เพราะขนาดปลาไม่เล็ก หรือ ไม่ใหญ่เกินไป มีเนื้อมากพอที่จะรับประทาน,การเลือกซื้อปลาช่อน ให้เลือกปลาช่อนนา เป็นปลาช่อนที่สดๆ ใหม่ จะได้เนื้อปลาที่แน่น น่ารับประทาน,การเตรียมเนื้อปลาช่อน เป็นขั้นตอนที่สำคัญ เนื่องจากหากทำไม่ดีปลาช่อนจะคาว กินไม่ได้ โดยการล้างปลาให้สะอาด จะทำให้ปลาช่อนลดความคาวลง วิธีล้างปลาช่อนให้ขอดเกล็ด เอาไส้ออก ล้างเลือดและเมือกออกให้หมด ให้ใช้เกลือถูที่ตัวปลาปลา จะทำให้เมือกปลาหาย,การทอดปลาโดยไม่ให้ติดกระทะ ให้คลุกเกลือที่ผิวปลา ก่อนนำไปทอด โดยทอดในน้ำมันที่ท่วมตัวปลา,น้ำมันสำหรับการทอดปลาให้ใช้น้ำมันที่ร้อน ไฟปานกลาง จะทำให้เนื้อปลาไม่อมน้ำมัน และกรอบนอกนุ่มใน,มะนาว ที่ใช่ในการใส่ในน้ำยำ ให้ใช่มะนาวผิวบาง เวลากินจะง่าย,น้ำพริกเผาจะเพิ่มความหอม ให้น้ำยำ หากไม่ชอบสามารถเอาออกได้,,,,
20,ปลากระพงทอดน้ำปลา,ทอด,เริ่มจากการล้างปลากระพงให้สะอาด ขอดเกล็ดปลาให้หมด แผ่ปลาออกเป็นแผ่น และ เอาก้างกลางออก เอากล้างออกเท่าที่จะทำได้ ล้างปลาให้สะอาด ตัดเหงือกออก,จากนั้น โรยเกลือที่ผิวปลาเล็กน้อย โรยแป้งข้าวโพดให้ทั่วตัวปลา,ตั้งกระทะน้ำมันให้ร้อน ไฟปานกลาง จากนั้นนำปลากระพงลงไปทอด โดยต้องทอดให้สุก เหลืองกรอบ จากนั้น จัดใส่จาน รอน้ำซอส,เตรียมน้ำซอส โดย ตั้งกระทะ ใส่น้ำตาลปี๊บลงไปคั่วในกระทะ ให้ออกสีน้ำตาล จากนั้นใส่น้ำเปล่าลงไปนิดหน่อย ปรุงรสด้วย น้ำปลา พริกไทยป่น และ น้ำส้มสายชู เคี้ยวให้ซอสเหนียว ก็เสริฟใส่ถ้วยน้ำจิ้ม ใส่ มะม่วงดิบ หอมแดงซอยลงไป พร้อมด้วยถั่วลิสงคั่ว,เสริฟ ปลากระพงทอด พร้อมกับซอสน้ำปลาหวาน แสนอร่อย,การเลือกปลากระพง ให้เลือกปลากระพงขนาด 5 ขีด เป็นปลาที่ขนาดพอเหมาะสำหรับทำอาหารเมนูปลากระพง การเลือกซื้อปลากระพง ให้ใช้ปลาที่สดใหม่เท่านั้น เคล็ดลับการเลือกซื้อปลา คือ ให้ดูเหงือกปลาต้องแดงสด เนื้อปลาแน่น ไม่มีเมือกมากเกินไป ไม่มีสีคล่ำ ไม่มีกลิ่นเน่า,เทคนิคการทอดปลาใหน้ำมันไม่กระเด็น สาเหตุของน้ำมันที่กระเด็น คือ น้ำที่อยู่ในตัวปลา วิธีการทำ คือ ทำให้ปลาแห้งก่อนนำปลาลงไปทอด,การล้างปลา ให้ล้างปลาให้สะอาด โดยต้องไม่ให้เลหือ เมือกของปลา เนื่องจาก เมือกปลาส่วนนี้ทำให้ปลาคาว และ ให้ตัดเหงือกออกด้วย,การคลุกเกลือที่ตัวปลาก่อนนำไปทอดจะช่วยให้ปลาไม่ติดกระทะ,คลุกแป้งข้าวโพดด้วย จะช่วยให้เนื้อปลามีสีสวยเหลืองกรอบ,น้ำตาลสำหรับนำมาทำซอส ให้คั่วน้ำตาลให้ออกสีน้ำตาลก่อน น้ำตาลเกือบไหม้จะมีความหอมที่แตกต่างจากน้ำตาลทั่วไป,ถั่วลิสงคั่ว ให้เลือกให้ถั่วลิงสงคั่วที่สดๆ จะมีความหอม กรอบ และ ไม่มีกลิ่นหืน,มะม่วงดิบ ให้เลือกใช้มะม่วงเปรี้ยว รสเปรี้ยวจะเพิ่มความอร่อยให้ซอสแบบเข้ากัน,,,,,
21,ปลาเนื้ออ่อนราดพริก,ทอด,เริ่มจากล้างปลาให้สะอาด ผ่าไส้และเครื่องในออกให้หมด จากนั้นนำมาทากับแป้งข้าวโพด,ตั้งกระทะน้ำมัน ให้ร้อน ไฟปานกลาง ปริมาณน้ำมันให้ท่วมตัวปลา ใส่ปลาเนื้ออ่อนลงไปทอด ทอดให้เหลืองกรอบ จากนั้นพักเอาไว้ก่อน,เตรียมทำน้ำซอส โดย ตั้งกระทะ ใส่น้ำมันนิดหน่อย จากนั้นใส่ พริกขี้หนูสวน และ กระเทียม ลงไปผัด ผัดให้กระเทียมเหลือง มีกลิ่นหอม,จึงใส่ น้ำตาลปี๊บ น้ำปลา และ น้ำมะขามเปียกลงไปผัด เคี้ยวให้ได้รสชาติที่พอใจ จากนั้นปิดไฟ,ราดซอสใส่ปลาเนื้ออ่อนทอดที่เตรียมเอาไว้แล้ว เสริฟโรยหน้าด้วยผีกชีพร้อมรับประทานได้,ปลาเนื้ออ่อน ต้องเลือกปลาเนื้ออ่อนที่สดๆ โดยการเลือกปลาให้ดูที่ลักษณะของสีปลา ขาว เนื้อปลาแน่น ตาปลาใส,เทคนิคการทอดปลา ให้ใช้น้ำมันที่ร้อน และ ไปความแรงปานกลาง จะได้ปลาที่สุกพอดี กรอบนอกนุ่มใน,เทคนิคการทอดให้ปลาไม่ติดกระทะและน้ำมันไม่กระเด็น ต้องทำให้ปลาแห้ง ไม่มีน้ำ,น้ำตาล ต้องเลือกใช้น้ำตาลปี๊บ ความหวานของน้ำตาลปี๊บจะได้รสชาติที่พอดีหอมอร่อย,รสเปรี้ยวของน้ำซอส ใช้ น้ำมะขามเปียก เนื่องจากน้ำมะขามเปียก มีรสชาติหวานอมเปรี้ยว อร่อย,การผัดกระเทียมและพริก จะทำให้น้ำมันหอมเวลานำส่วนผสมต่างๆใส่ ทำให้น้ำซอสหอมอร่อย,,,,,,,
